bridge_id,FACILITY_CARRIED_007,LOCATION_009,latitude,longitude,LOWEST_RATING,BRIDGE_CONDITION,bridge_age,ADT_029,STRUCTURE_LEN_MT_049,DECK_COND_NUM,SUPERSTRUCTURE_COND_NUM,SUBSTRUCTURE_COND_NUM,predicted_deterioration_probability,priority_rank
20C0567,MONTECITO BLVD,S OF BAIRD BLVD,38.47741388888889,-122.66660277777778,8,G,42,1000,7.7,,,,0.9334982897442882,77
53C2161,HARBOR PLZ DR E,200FT W/O PICO AVE,33.755719444444445,-118.20574166666667,6,F,31,8971,73.1,7.0,8.0,6.0,0.9328261457921421,78
53C0583,LEMON AVE,0.4MI N/O VALLEY BLVD,34.01504444444444,-117.86391111111111,8,G,49,9064,6.7,,,,0.9326084018946859,79
53C0009,BELLFLOWER BLVD,0.1MI S/O ATHERTON ST,33.78699722222222,-118.12321944444444,8,G,70,24698,11.5,,,,0.9325760413784968,80
53C1524,THREE PALMS ST,0.2MI W/O HACIENDA BLVD,34.006369444444445,-117.96878055555555,8,G,57,29157,7.9,,,,0.9322058731835496,81
53C2124,RANDOLPH ST,40FT E/O ALAMEDA ST,33.98643611111111,-118.23718055555555,7,G,25,9435,16.8,7.0,8.0,8.0,0.9316113040372757,82
051551000035978,NO DATA ENTERED,NO DATA ENTERED,37.49438888888889,-119.40625833333334,9,G,3,80,18.3,9.0,9.0,9.0,0.9315696649054024,83
10 0224,U.S. HIGHWAY 101,01-MEN-101-R23.82,39.14118055555556,-123.19608055555555,8,G,61,20900,8.2,,,,0.9311666229641202,84
22 0045,INTERSTATE 80,03-YOL-080-7.25,38.56796944444445,-121.612325,7,G,62,135000,2682.2,7.0,7.0,7.0,0.9300126764744309,85
051053000001019,NO DATA ENTERED,NO DATA ENTERED,40.98193055555556,-123.61903055555555,8,G,47,50,25.0,8.0,8.0,8.0,0.9292563106524906,86
24 0242,US HIGHWAY 50,03-SAC-050-13.94,38.61791388888889,-121.24641111111112,8,G,63,121000,6.7,,,,0.9290236224585379,87
DAPAMCCON000108,KINNEY BLVD,PORT CHICAGO HIGHWAY,38.04463055555556,-122.0313,6,F,80,20,422.2,6.0,7.0,6.0,0.928900627798885,88
33 0288,ROUTE 580,04-ALA-580-44.28-OAK,37.81896944444445,-122.2534111111111,6,F,64,201000,131.1,6.0,7.0,7.0,0.9287591039898273,89
53C1399,WASHINGTON BLVD,0.5MI W/O I-405 FWY,33.999825,-118.417675,8,G,76,23963,10.7,,,,0.9272817596268933,90
000000000L67860,JACK OF HEARTS ROA,14.2 mi NE of DeHaven,39.72798888888889,-123.66293055555556,5,F,40,50,15.5,5.0,5.0,6.0,0.9270991034791941,91
50C0339,HAGEMAN ROAD,0.5 MI WEST OF COFFEE RD,35.39800555555556,-119.10250833333333,8,G,31,26000,10.6,,,,0.9268846398436094,92
000000000L59882,JACK OF HEARTS ROA,13.5 mi NE of DeHaven,39.72246944444445,-123.65225000000001,5,F,27,50,17.1,5.0,7.0,6.0,0.9268149523942963,93
53C2162,PIER J AVE E,0.4MI S/O HARBOR PLZ,33.74434166666667,-118.18980833333333,6,F,28,1974,489.8,6.0,7.0,8.0,0.926760546460386,94
46C0123,ROAD 32,0.1 MI N OF AVE 62,35.903952777777775,-119.50055277777778,8,G,47,25,10.4,,,,0.9257228272581183,95
53C0582,LA PUENTE RD,200FT E/O LEMON AVE,34.02050555555555,-117.86534722222221,8,G,44,5871,6.7,,,,0.925402445881032,96
53C2120,38TH/41TH ST,E/O ALAMEDA ST,34.00796111111111,-118.23942222222222,7,G,25,7182,18.5,7.0,8.0,8.0,0.9241915927814127,97
10C0173,HEARST-WILLITS RD,7.6 MI N JCT TOMKI RD,39.51524722222222,-123.21061666666667,6,F,45,387,9.8,6.0,6.0,6.0,0.9239064644847568,98
53C1817,10TH ST W,0.1MI S/O RNCHO VSTA BL,34.60089166666667,-118.14751944444446,8,G,34,38480,14.4,,,,0.922738627289998,99
53C0533,ALOSTA AVE,1.2MI E/O GLENDORA AVE,34.12872222222222,-117.8403111111111,8,G,57,30352,11.6,,,,0.9215218584358433,100
